longitude,latitude
24.5,34.5
25.5,34.5
26.5,34.5
23.5,35.5
24.5,35.5
25.5,35.5
26.5,35.5
27.5,35.5
21.5,36.5
22.5,36.5
23.5,36.5
24.5,36.5
25.5,36.5
26.5,36.5
27.5,36.5
28.5,36.5
29.5,36.5
20.5,37.5
21.5,37.5
22.5,37.5
23.5,37.5
24.5,37.5
25.5,37.5
26.5,37.5
27.5,37.5
20.5,38.5
21.5,38.5
22.5,38.5
23.5,38.5
24.5,38.5
25.5,38.5
26.5,38.5
19.5,39.5
20.5,39.5
21.5,39.5
22.5,39.5
23.5,39.5
24.5,39.5
25.5,39.5
26.5,39.5
20.5,40.5
21.5,40.5
22.5,40.5
23.5,40.5
24.5,40.5
25.5,40.5
26.5,40.5
21.5,41.5
22.5,41.5
23.5,41.5
24.5,41.5
25.5,41.5
26.5,41.5
